ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-05-01,981.23223922944,949.1547576595351,1989.71599811402,981.23223922944,981.23223922944,500.9972617374214,500.9972617374214,500.9972617374214,500.9972617374214,500.9972617374214,500.9972617374214,0.0,0.0,0.0,1482.2295009668615
2015-09-01,860.8641975170643,2858.1419395814446,3896.4453808433973,860.8641975170643,860.8641975170643,2503.1490297687874,2503.1490297687874,2503.1490297687874,2503.1490297687874,2503.1490297687874,2503.1490297687874,0.0,0.0,0.0,3364.013227285852
2015-11-01,801.16947763717,267.44704500521743,1281.4923990729042,801.16947763717,801.16947763717,8.762061904806343,8.762061904806343,8.762061904806343,8.762061904806343,8.762061904806343,8.762061904806343,0.0,0.0,0.0,809.9315395419763
2015-12-01,771.8114186840444,-518.7370975216378,517.7819276301209,771.8114186840444,771.8114186840444,-737.6516483512562,-737.6516483512562,-737.6516483512562,-737.6516483512562,-737.6516483512562,-737.6516483512562,0.0,0.0,0.0,34.159770332788185
2016-02-01,711.1380968362013,251.1272686455684,1266.5731906727224,711.1380968362013,711.1380968362013,74.48387275898237,74.48387275898237,74.48387275898237,74.48387275898237,74.48387275898237,74.48387275898237,0.0,0.0,0.0,785.6219695951836
2016-03-01,682.7586398298306,-289.38527114109127,718.7184937315427,682.7586398298306,682.7586398298306,-480.08069716820035,-480.08069716820035,-480.08069716820035,-480.08069716820035,-480.08069716820035,-480.08069716820035,0.0,0.0,0.0,202.67794266163025
2016-05-01,623.0639198953228,57.201839203078364,1068.5743022368017,623.0639198953228,623.0639198953228,-55.87475879666886,-55.87475879666886,-55.87475879666886,-55.87475879666886,-55.87475879666886,-55.87475879666886,0.0,0.0,0.0,567.1891610986539
2016-07-01,563.3691999901574,133.0876866429334,1162.2049513416403,563.3691999901574,563.3691999901574,108.55303729180797,108.55303729180797,108.55303729180797,108.55303729180797,108.55303729180797,108.55303729180797,0.0,0.0,0.0,671.9222372819654
2016-11-01,443.0011582129473,764.4089258092014,1780.6494780398268,443.0011582129473,443.0011582129473,823.7228532354497,823.7228532354497,823.7228532354497,823.7228532354497,823.7228532354497,823.7228532354497,0.0,0.0,0.0,1266.724011448397
2017-01-01,383.306438330217,-461.8250321402384,512.6740931543078,383.306438330217,383.306438330217,-359.44031543678506,-359.44031543678506,-359.44031543678506,-359.44031543678506,-359.44031543678506,-359.44031543678506,0.0,0.0,0.0,23.866122893431964
2017-03-01,325.5689223874241,-354.4119961919922,626.7216123351587,325.5689223874241,325.5689223874241,-224.16035520789697,-224.16035520789697,-224.16035520789697,-224.16035520789697,-224.16035520789697,-224.16035520789697,0.0,0.0,0.0,101.40856717952713
2017-04-01,295.232261474996,-450.61966187183646,577.2332592866204,295.232261474996,295.232261474996,-219.45580908695007,-219.45580908695007,-219.45580908695007,-219.45580908695007,-219.45580908695007,-219.45580908695007,0.0,0.0,0.0,75.77645238804593
2017-05-01,265.87420250529124,-123.01104023455208,939.9350972453411,265.87420250529124,265.87420250529124,154.67507135572168,154.67507135572168,154.67507135572168,154.67507135572168,154.67507135572168,154.67507135572168,0.0,0.0,0.0,420.5492738610129
2017-06-01,235.53683224016837,-63.52484727151155,920.5007897365753,235.53683224016837,235.53683224016837,174.3700958967307,174.3700958967307,174.3700958967307,174.3700958967307,174.3700958967307,174.3700958967307,0.0,0.0,0.0,409.90692813689907
