ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-05-12,6.760018892272716,669.6164538366264,5169.847603569143,6.760018892272716,6.760018892272716,0.8175878840117218,0.8175878840117218,0.8175878840117218,0.8175878840117218,0.8175878840117218,0.8175878840117218,0.0,0.0,0.0,1953.947132669262
2015-09-06,6.538270366682235,1441.081823999864,9377.680046238624,6.538270366682235,6.538270366682235,1.692050436589209,1.692050436589209,1.692050436589209,1.692050436589209,1.692050436589209,1.692050436589209,0.0,0.0,0.0,3753.0375457117984
2015-11-11,6.413181454962333,456.1302027292585,3134.3328760995687,6.413181454962333,6.413181454962333,0.6297767310571903,0.6297767310571903,0.6297767310571903,0.6297767310571903,0.6297767310571903,0.6297767310571903,0.0,0.0,0.0,1144.769042482015
2015-12-10,6.35821814522617,14.299461217780673,94.62131353684758,6.35821814522617,6.35821814522617,-2.738911880877032,-2.738911880877032,-2.738911880877032,-2.738911880877032,-2.738911880877032,-2.738911880877032,0.0,0.0,0.0,37.311674402771516
2016-02-03,6.253977385365538,288.90177921494814,1800.607966900557,6.253977385365538,6.253977385365538,0.31595355064957853,0.31595355064957853,0.31595355064957853,0.31595355064957853,0.31595355064957853,0.31595355064957853,0.0,0.0,0.0,713.320576670094
2016-03-09,6.187642356292236,76.86714504254114,602.86647736293,6.187642356292236,6.187642356292236,-0.8613458426547017,-0.8613458426547017,-0.8613458426547017,-0.8613458426547017,-0.8613458426547017,-0.8613458426547017,0.0,0.0,0.0,205.6748479203702
2016-05-04,6.081506309856653,73.43150356018744,576.3395310745354,6.081506309856653,6.081506309856653,-0.74145430256548,-0.74145430256548,-0.74145430256548,-0.74145430256548,-0.74145430256548,-0.74145430256548,0.0,0.0,0.0,208.5235547523267
2016-07-09,5.956417397927238,254.98680838281507,2011.1077884037084,5.956417397927238,5.956417397927238,0.5556434906113348,0.5556434906113348,0.5556434906113348,0.5556434906113348,0.5556434906113348,0.5556434906113348,0.0,0.0,0.0,673.2124046468826
2016-11-10,5.721401866549902,185.0246887286857,1207.1937697576652,5.721401866549902,5.721401866549902,0.4145793019266967,0.4145793019266967,0.4145793019266967,0.4145793019266967,0.4145793019266967,0.4145793019266967,0.0,0.0,0.0,462.19236019124725
2017-01-12,5.6019100276980085,8.892513887123055,65.59991449513424,5.6019100276980085,5.6019100276980085,-2.430428607026414,-2.430428607026414,-2.430428607026414,-2.430428607026414,-2.430428607026414,-2.430428607026414,0.0,0.0,0.0,23.84277939283632
